Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
85	GA03	10	1701731	110	2011-11-20T15:13:06.000	295.83051	31.75
86	GA03	10	1701731	185	2011-11-20T15:13:06.000	295.83051	31.75
87	GA03	10	1701731	235	2011-11-20T15:13:06.000	295.83051	31.75
88	GA03	10	1701731		2011-11-20T15:13:06.000	295.83051	31.75
89	GA03	10	1701731	420	2011-11-20T15:13:06.000	295.83051	31.75
90	GA03	16	1646690	40	2011-11-29T18:47:15.000	315.17358	26.1362
91	GA03	16	1646690	60	2011-11-29T18:47:15.000	315.17358	26.1362
92	GA03	16	1646690	90	2011-11-29T18:47:15.000	315.17358	26.1362
93	GA03	16	1646690	115	2011-11-29T18:47:15.000	315.17358	26.1362
94	GA03	16	1646690	135	2011-11-29T18:47:15.000	315.17358	26.1362
95	GA03	16	1646690	185	2011-11-29T18:47:15.000	315.17358	26.1362
96	GA03	16	1646690	235	2011-11-29T18:47:15.000	315.17358	26.1362
97	GA03	16	1646690	265	2011-11-29T18:47:15.000	315.17358	26.1362
98	GA03	24	1702228	38	2011-12-10T01:37:58.000	335.50009	17.3999
99	GA03	24	1702228	72	2011-12-10T01:37:58.000	335.50009	17.3999
100	GA03	24	1702228	90	2011-12-10T01:37:58.000	335.50009	17.3999
101	GA03	24	1702228	135	2011-12-10T01:37:58.000	335.50009	17.3999
102	GA03	24	1702228	185	2011-12-10T01:37:58.000	335.50009	17.3999
103	GA03	24	1702228	235	2011-12-10T01:37:58.000	335.50009	17.3999
104	GA03	24	1702228	286	2011-12-10T01:37:58.000	335.50009	17.3999
105	GA03	14	1646613	40	2011-11-26T20:45:20.000	310.3671	27.583
106	GA03	14	1646613	70	2011-11-26T20:45:20.000	310.3671	27.583
107	GA03	14	1646613	100	2011-11-26T20:45:20.000	310.3671	27.583
108	GA03	14	1646613	115	2011-11-26T20:45:20.000	310.3671	27.583
109	GA03	14	1646613	135	2011-11-26T20:45:20.000	310.3671	27.583
110	GA03	14	1646613	185	2011-11-26T20:45:20.000	310.3671	27.583
111	GA03	14	1646613	235	2011-11-26T20:45:20.000	310.3671	27.583
112	GA03	14	1646613	285	2011-11-26T20:45:20.000	310.3671	27.583
114	GA03	1	1646123	30	2011-11-07T19:12:24.000	290.1861	39.6941
115	GA03	1	1646123	58	2011-11-07T19:12:24.000	290.1861	39.6941
116	GA03	1	1646123	90	2011-11-07T19:12:24.000	290.1861	39.6941
117	GA03	1	1646123	110	2011-11-07T19:12:24.000	290.1861	39.6941
118	GA03	1	1646123	135	2011-11-07T19:12:24.000	290.1861	39.6941
119	GA03	1	1646123	185	2011-11-07T19:12:24.000	290.1861	39.6941
120	GA03	1	1646123	285	2011-11-07T19:12:24.000	290.1861	39.6941
122	GA03	4	1646256	40	2011-11-13T00:04:27.000	291.1304	38.3269
123	GA03	4	1646256	66	2011-11-13T00:04:27.000	291.1304	38.3269
124	GA03	4	1646256	90	2011-11-13T00:04:27.000	291.1304	38.3269
125	GA03	4	1646256	111	2011-11-13T00:04:27.000	291.1304	38.3269
126	GA03	4	1646256	135	2011-11-13T00:04:27.000	291.1304	38.3269
127	GA03	4	1646256	185	2011-11-13T00:04:27.000	291.1304	38.3269
128	GA03	4	1646256	238	2011-11-13T00:04:27.000	291.1304	38.3269
129	GA03	4	1646256	285	2011-11-13T00:04:27.000	291.1304	38.3269
130	GA03	6	1646326	10	2011-11-14T22:56:41.000	291.5954	37.5954
131	GA03	6	1646326	40	2011-11-14T22:56:41.000	291.5954	37.5954
132	GA03	6	1646326	60	2011-11-14T22:56:41.000	291.5954	37.5954
133	GA03	6	1646326	80	2011-11-14T22:56:41.000	291.5954	37.5954
134	GA03	6	1646326	100	2011-11-14T22:56:41.000	291.5954	37.5954
135	GA03	6	1646326	120	2011-11-14T22:56:41.000	291.5954	37.5954
136	GA03	6	1646326	160	2011-11-14T22:56:41.000	291.5954	37.5954
137	GA03	6	1646326	180	2011-11-14T22:56:41.000	291.5954	37.5954
138	GA03	22	1702221	50	2011-12-07T18:06:27.000	330.61719	19.4329
