asample,bsample,BCdis
S0220,S0404,0.08672508901785991
S0220,S0367,0.08476499964421425
S0220,S0387,0.0961038861243324
S0219,S0357,0.12586425464602102
S0219,S0262,0.15044470924984255
S0219,S0369,0.14584054592138262
S0213,S0255,0.09412921271486219
S0201,S0334,0.12945251330393404
S0200,S0285,0.06426536029231078
S0200,S0251,0.04234030935359212
S0200,S0257,0.0771798948350445
S0201,S0209,0.0975678190870759
S0224,S0282,0.05951029506473626
S0313,S0356,0.06395603393998672
S0203,S0419,0.10000404465036072
S0203,S0236,0.10660965634946618
S0203,S0424,0.06609476883386134
S0203,S0317,0.10429626400369829
S0203,S0372,0.09273218471908651
S0352,S0415,0.08634669717981502
S0221,S0249,0.10421101558090151
S0227,S0352,0.14279171030178728
S0347,S0352,0.0969928945049725
S0325,S0352,0.08966486289745301
S0217,S0395,0.08722868025571473
S0217,S0409,0.12614681190930033
S0243,S0267,0.13357793999207712
S0237,S0407,0.12142004212828572
S0253,S0258,0.16258056235121277
S0209,S0243,0.11995463593321343
S0348,S0422,0.06371224883631732
S0348,S0432,0.056833001252994286
S0291,S0406,0.0829599988179387
S0291,S0331,0.06121052882251932
S0329,S0348,0.2849692719193221
S0289,S0361,0.17479119100341656
S0269,S0289,0.04455440567204316
S0249,S0289,0.11198647547233809
S0344,S0431,0.08906822795820268
S0204,S0409,0.12389812128000954
S0204,S0239,0.10343550633421938
S0236,S0344,0.1021923619410916
S0281,S0416,0.061070051552598925
S0281,S0289,0.0636003471059634
S0272,S0281,0.046608535838949194
S0252,S0322,0.12591751331151768
S0215,S0394,0.1189518546255518
S0215,S0303,0.1470219178139105
S0212,S0292,0.15919617002027087
S0212,S0242,0.17748983392222073
S0212,S0268,0.11664892340482036
S0216,S0328,0.29852986465431686
S0216,S0314,0.1383034217117448
S0248,S0336,0.15583681598315136
S0245,S0259,0.14626224062653492
S0245,S0407,0.10741023221843093
S0205,S0254,0.06709887457851904
S0329,S0366,0.2936746366462225
S0321,S0401,0.1655761996628624
S0233,S0322,0.1071066017510639
S0233,S0250,0.1656923350057562
S0233,S0298,0.12824948822941196
S0316,S0353,0.09215921792922943
S0313,S0353,0.10292589824622833
S0206,S0372,0.05568007376358264
S0206,S0336,0.13749495003104406
S0206,S0212,0.09212193215606967
S0245,S0368,0.10158508154593049
S0278,S0355,0.1183646169816518
S0211,S0438,0.1631072976034733
S0211,S0315,0.10201305334643418
S0211,S0304,0.11529040641684918
S0238,S0291,0.07220488941906866
S0238,S0435,0.06350438431156813
S0391,S0405,0.033539313286797934
S0267,S0305,0.07551746887828548
S0240,S0279,0.18353693634006674
S0231,S0335,0.1865499213805084
S0231,S0362,0.26341806872408546
S0246,S0322,0.1025072711235262
S0246,S0437,0.11766548570524138
S0246,S0307,0.06275963819375718
S0219,S0246,0.09929548741508876
S0363,S0372,0.03622048262806887
S0199,S0378,0.0712922993089562
S0190,S0429,0.06683079035617867
S0190,S0438,0.23008637589639613
S0177,S0377,0.07187703282801294
S0095,S0411,0.08251506462197844
S0087,S0357,0.15972073133086961
S0085,S0371,0.0827426780827688
S0167,S0422,0.10971975603735407
S0195,S0361,0.15938394680948675
S0172,S0402,0.16681235889274115
S0172,S0389,0.14690901616102114
S0156,S0378,0.19922950996431943
S0196,S0432,0.07745561877316343
S0096,S0432,0.1160718983799558
S0191,S0411,0.0826885323809331
S0191,S0371,0.1161524633963672
S0188,S0392,0.0626196749517306
S0093,S0371,0.13471176776967042
S0080,S0411,0.1901452968326781
S0078,S0361,0.058864911937989706
S0078,S0356,0.19908472327457127
S0085,S0383,0.061984747482429325
S0192,S0443,0.07415823919177367
S0156,S0430,0.1519772265466789
S0174,S0422,0.173609876360861
S0174,S0415,0.1665958796298762
S0076,S0350,0.12977343708359423
S0150,S0356,0.14285192294829063
S0199,S0380,0.12205093989050086
S0155,S0362,0.21519318052186898
S0198,S0386,0.08877093715461581
S0198,S0415,0.07361823058782202
S0096,S0355,0.14584176695238815
S0139,S0365,0.05744434262583953
S0151,S0367,0.19212129658215127
S0151,S0380,0.1508804958303862
S0127,S0377,0.09720655399162714
S0119,S0374,0.12423078186712433
S0119,S0425,0.05124911697209378
S0119,S0367,0.12453152389079347
S0126,S0375,0.0872690646658889
S0129,S0352,0.17907691067458187
S0112,S0377,0.13373113358586297
S0158,S0372,0.09779737205720662
S0084,S0401,0.06294277185706676
S0066,S0357,0.13985088540583068
S0153,S0383,0.11472497935690118
S0066,S0395,0.07508596924051514
S0154,S0389,0.07860318066961769
S0082,S0389,0.06536828076325107
S0125,S0377,0.06848731668574815
S0072,S0360,0.12882023735293935
S0183,S0369,0.16095296291821926
S0183,S0407,0.11013364946957938
S0143,S0355,0.18114215640434794
S0065,S0402,0.08324013377860884
S0075,S0358,0.15998061007659792
S0128,S0383,0.09910635852444516
S0115,S0435,0.12769273543077952
S0130,S0432,0.0879112239336528
S0111,S0406,0.13556362061540672
S0134,S0391,0.10325885014314529
S0181,S0402,0.06023161052723203
S0062,S0411,0.09066280724508047
S0144,S0397,0.15821687718983368
S0161,S0415,0.08227326860772632
S0169,S0375,0.08230579886257683
S0058,S0395,0.10306627441455463
S0089,S0419,0.14187851494563075
S0089,S0390,0.11275641072127562
S0123,S0375,0.08479799918342712
S0133,S0406,0.07244670692362953
S0132,S0387,0.08619509333379638
S0132,S0383,0.05604701809782575
S0182,S0407,0.08056112021089412
S0141,S0386,0.0919077116186644
S0141,S0443,0.09265065725271648
S0149,S0363,0.07232491058751389
S0120,S0363,0.10878218826422648
S0059,S0370,0.08769481967608617
S0068,S0392,0.123038465102279
S0109,S0390,0.06183325013435381
S0108,S0369,0.12046883351697346
S0107,S0384,0.04973386913341671
S0107,S0422,0.07079969722144352
S0106,S0406,0.06467206076156196
S0106,S0350,0.055437348195214176
S0106,S0401,0.06621921451142809
S0102,S0393,0.10186898946246337
S0055,S0362,0.11030966152690003
S0054,S0376,0.150247480216258
S0054,S0445,0.19592271941447081
S0050,S0393,0.06434592275071627
S0048,S0369,0.10288917301726164
S0047,S0438,0.22983049657437382
S0037,S0396,0.08986285370266611
S0029,S0386,0.09571440729572245
S0029,S0391,0.07751969866898878
S0040,S0407,0.12120869301892379
S0040,S0382,0.11138153428440656
S0013,S0385,0.08380331245360628
S0023,S0394,0.06847488768951215
S0016,S0389,0.07451691429675411
S0016,S0428,0.0849629432118687
S0010,S0353,0.12684456511185382
S0022,S0374,0.08049622304446502
S0020,S0383,0.09068043219512312
S0043,S0389,0.0975384852536082
S0049,S0384,0.055222835990538566
S0008,S0355,0.19506057566234902
S0033,S0372,0.09407548438248658
S0136,S0437,0.05195699473146287
S0092,S0331,0.05789382425285683
S0106,S0308,0.052335447512009914
S0138,S0342,0.0626013514775926
S0150,S0345,0.11865538263523934
S0190,S0308,0.08339010760957022
S0097,S0321,0.08706171686674835
S0180,S0309,0.08023305427169258
S0105,S0340,0.06670195887002073
S0083,S0322,0.07991891805774565
S0149,S0322,0.08225573784283446
S0180,S0322,0.16379024386322483
S0106,S0303,0.06209723583849458
S0104,S0303,0.1455839690146954
S0149,S0336,0.18481872041919212
S0158,S0332,0.0915582333773941
S0161,S0318,0.07531944749822439
S0181,S0343,0.06276249521861232
S0174,S0309,0.1471793257609464
S0186,S0333,0.08211455845649829
S0179,S0345,0.06633746395162743
S0118,S0322,0.1411832869843359
S0131,S0335,0.15558029426973818
S0128,S0318,0.17223932765231764
S0090,S0315,0.1261937818735347
S0077,S0319,0.14565500804989118
S0077,S0349,0.11273884088377983
S0125,S0335,0.15181436720007235
S0198,S0347,0.08829703598873473
S0075,S0317,0.08552344701614789
S0124,S0335,0.1719659501756744
S0067,S0315,0.07974139019137572
S0067,S0316,0.12492344545118428
S0145,S0313,0.228193233367592
S0100,S0345,0.08157568686148309
S0172,S0301,0.16538761186632245
S0053,S0345,0.12529081509425588
S0053,S0304,0.12913727535638242
S0049,S0312,0.05147144051175789
S0037,S0319,0.0908800801080144
S0052,S0336,0.07914351808083309
S0136,S0323,0.1271336956221134
S0136,S0347,0.09135261533798256
S0028,S0342,0.11337990933368058
S0003,S0313,0.11267326512842024
S0013,S0334,0.06946433711926525
S0009,S0345,0.09440060150182106
S0008,S0303,0.1600945973050798
S0008,S0348,0.15115413222451723
S0005,S0319,0.09226409598763652
S0030,S0347,0.09395094491801748
S0012,S0307,0.1174358147536878
S0004,S0311,0.08585470438771536
S0198,S0258,0.19416979718920613
S0184,S0278,0.10851008488274028
S0191,S0280,0.08683484775257488
S0197,S0292,0.05829644385787536
S0099,S0284,0.10121088736860606
S0187,S0255,0.0672214100941958
S0197,S0290,0.08132454109652143
S0090,S0290,0.13135814954762715
S0093,S0275,0.08292070338781499
S0086,S0262,0.14834607703366742
S0085,S0274,0.08177553066614951
S0151,S0274,0.20670422844961478
S0078,S0274,0.16759637705534425
S0078,S0259,0.07650066751814655
S0140,S0251,0.08011122080452004
S0140,S0273,0.055403634223645026
S0153,S0280,0.13228329270233852
S0153,S0257,0.1268770273901092
S0070,S0254,0.19889407409376725
S0119,S0279,0.12308997805765842
S0112,S0272,0.13452222381586276
S0119,S0250,0.0629545872279057
S0075,S0262,0.15072454492314846
S0126,S0267,0.07136910802234575
S0128,S0267,0.09375254009538825
S0098,S0276,0.11995718702966385
S0119,S0289,0.1384919759852815
S0114,S0267,0.0711554940198833
S0077,S0256,0.1399118028169819
S0117,S0284,0.10147901236349333
S0082,S0257,0.05599616200873947
S0130,S0262,0.14108594351736548
S0181,S0251,0.08768741796596546
S0137,S0286,0.1074851989938247
S0122,S0267,0.07147965290686897
S0073,S0267,0.07278237170962809
S0094,S0279,0.10371255147504699
S0094,S0254,0.07508084144532046
S0094,S0298,0.09349384657988158
S0133,S0281,0.08127054991451999
S0066,S0285,0.080013524519426
S0066,S0295,0.10354318484324387
S0109,S0262,0.13673096511451088
S0108,S0283,0.06804310928910862
S0108,S0295,0.06824027509110986
S0107,S0266,0.08539400472192415
S0057,S0268,0.07676202763999662
S0050,S0293,0.06672040811345303
S0050,S0254,0.07162701130985138
S0050,S0295,0.07428860223177403
S0048,S0263,0.08140363858824706
S0047,S0269,0.058833523909078145
S0045,S0297,0.0895857695723441
S0039,S0283,0.11049959789536423
S0021,S0269,0.08572189951525211
S0009,S0273,0.10552232442546472
S0061,S0285,0.08824934903238957
S0017,S0257,0.09856818370395415
S0011,S0253,0.11961307492035778
S0011,S0284,0.14419788390771704
S0041,S0294,0.09357383552364185
S0058,S0250,0.13723108615703428
S0034,S0273,0.09062851218579637
S0018,S0267,0.0836944421303405
S0005,S0291,0.11445376287292719
S0046,S0292,0.11430739522772426
S0035,S0250,0.07755013196440674
S0022,S0281,0.08683385384459175
S0059,S0262,0.1589169793073273
S0024,S0276,0.08517908862278734
S0030,S0282,0.13278067137482397
S0030,S0256,0.06916145206918267
S0140,S0211,0.09186098210543658
S0169,S0200,0.06618752790559412
S0175,S0234,0.09517587087087265
S0071,S0211,0.18275027150766288
S0131,S0226,0.09167249290567003
S0092,S0244,0.09334363384117605
S0151,S0221,0.16023570335851967
S0117,S0201,0.08188646289329415
S0101,S0211,0.09790879017233156
S0174,S0202,0.13734470558763034
S0167,S0215,0.07725880114304107
S0115,S0206,0.06106763224670375
S0112,S0201,0.08246411185537628
S0112,S0206,0.10448468013225953
S0180,S0234,0.09832238259500625
S0150,S0247,0.11075846807823653
S0070,S0241,0.11107866403794653
S0122,S0228,0.07484482674358561
S0096,S0228,0.06266683483360624
S0110,S0215,0.09256640748666611
S0155,S0225,0.09114960573320163
S0101,S0248,0.07917860919114172
S0119,S0248,0.11011561534417713
S0087,S0216,0.05126202488177145
S0066,S0216,0.05082332705532633
S0085,S0216,0.08037347826446795
S0097,S0205,0.13794642652083489
S0149,S0205,0.06498868462679097
S0099,S0222,0.12365865549891464
S0134,S0205,0.1285345421980919
S0102,S0204,0.0473521618695768
S0195,S0243,0.1459146393739813
S0131,S0249,0.09972604303168942
S0181,S0229,0.07529304244158341
S0149,S0246,0.06925972230270794
S0197,S0227,0.09051660171764908
S0110,S0227,0.08731391561269675
S0059,S0204,0.1527522407914662
S0137,S0204,0.045782058424993055
S0074,S0213,0.09245319905777039
S0055,S0231,0.18156190511257686
S0060,S0235,0.11438741386850981
S0060,S0214,0.10904661686025285
S0123,S0203,0.13214019721347103
S0123,S0242,0.2342501771107217
S0173,S0227,0.12002784942435529
S0173,S0215,0.0915526010549681
S0133,S0219,0.10899661563664165
S0132,S0244,0.06672942825837813
S0100,S0215,0.1865124077762521
S0046,S0200,0.10789323718012933
S0046,S0213,0.08727541273192363
S0046,S0237,0.0945292192922258
S0037,S0203,0.10110129322566141
S0033,S0221,0.1401159024173515
S0021,S0207,0.10110527167198446
S0017,S0223,0.08581669099576872
S0010,S0216,0.12109092486869655
S0032,S0204,0.1487074919471395
S0012,S0245,0.1858572126597844
S0042,S0222,0.08041741212942155
S0005,S0202,0.1022253431446688
S0024,S0204,0.08538262179033129
S0024,S0200,0.07523933411261297
S0002,S0235,0.10713318759068635
S0099,S0197,0.09073663272071308
S0135,S0197,0.13634812888479653
S0091,S0099,0.08292057966235611
S0091,S0192,0.07683290684751287
S0070,S0096,0.11685281073340481
S0070,S0090,0.2676422570024539
S0088,S0165,0.12870223309757145
S0097,S0156,0.10958661378253665
S0081,S0156,0.07397543830782494
S0081,S0177,0.1431650681046288
S0042,S0081,0.11878661280712732
S0138,S0192,0.060009474049842804
S0099,S0178,0.14847223931874398
S0136,S0145,0.1321129301198004
S0098,S0172,0.22555702383065968
S0091,S0149,0.08751046947150165
S0077,S0081,0.07656682400570436
S0093,S0118,0.12403362600416479
S0025,S0079,0.14928442291489408
S0116,S0191,0.14472493877657022
S0079,S0112,0.06978937180673428
S0088,S0112,0.036064615933477207
S0045,S0112,0.05441375943561977
S0092,S0112,0.1869805042913789
S0039,S0116,0.04828200175799269
S0151,S0196,0.20960824976162162
S0026,S0199,0.13444416003888826
S0050,S0193,0.07179963792551947
S0050,S0063,0.08950100864541233
S0076,S0157,0.11711089101785144
S0075,S0084,0.07104923895724147
S0011,S0169,0.14004672372608262
S0080,S0129,0.11800143228951798
S0075,S0129,0.05702953891425944
S0028,S0154,0.09799580323743495
S0028,S0078,0.18018851525542423
S0054,S0087,0.05200078547558096
S0054,S0098,0.22089725410002725
S0029,S0054,0.1949477730355622
S0021,S0025,0.0674723614984839
S0017,S0096,0.0774779364043181
S0017,S0180,0.06923710850953535
S0083,S0139,0.053463627507165934
S0064,S0093,0.12024740415644353
S0064,S0167,0.0849190871429385
S0063,S0074,0.10005511513883181
S0009,S0199,0.1120799224785054
S0009,S0197,0.10301598743607754
S0009,S0099,0.10118731800492298
S0002,S0026,0.10056729699696298
S0043,S0053,0.10130204563368195
S0043,S0048,0.07422721796941967
S0043,S0183,0.12630720809981122
S0150,S0174,0.11788584509722355
S0101,S0174,0.10188972353750025
S0092,S0174,0.22062384272624436
S0082,S0174,0.18566819388032818
S0104,S0154,0.15695529661657015
S0026,S0104,0.09866588049509106
S0105,S0115,0.08918429032958997
S0063,S0105,0.10667261898752656
S0116,S0126,0.06022577753217184
S0009,S0126,0.12471118881725896
S0055,S0088,0.03865917231892002
S0025,S0055,0.11223487590744341
S0037,S0195,0.07042516539869825
S0050,S0159,0.14165059221946408
S0042,S0159,0.1777637228236303
S0126,S0175,0.12360055537788994
S0092,S0153,0.1549481523391315
S0001,S0122,0.29334730461781955
S0082,S0153,0.12295839633853967
S0003,S0032,0.11537981989069712
S0059,S0184,0.07850658890797968
S0059,S0060,0.09302624574998342
S0055,S0059,0.18376251183756476
S0125,S0151,0.19112208447448498
S0069,S0125,0.1781361936971274
S0099,S0125,0.06952540937312435
S0053,S0141,0.07372010646316185
S0108,S0141,0.06875082489984308
S0109,S0141,0.0671513151079729
S0003,S0141,0.0933181546965901
S0171,S0179,0.19767556818783483
S0174,S0179,0.21795555633895414
S0061,S0191,0.10766077470203039
S0027,S0085,0.09405182367908671
S0027,S0158,0.1231198676341253
S0023,S0039,0.09330308159583223
S0023,S0060,0.07194639561752691
S0073,S0174,0.1821050036627183
S0065,S0125,0.05709269195036204
S0032,S0111,0.14402969515553143
S0105,S0111,0.12355514313979388
S0090,S0188,0.09077983738312057
S0054,S0188,0.17813263154701253
S0012,S0190,0.08594645744423446
S0112,S0137,0.04355849752491692
S0051,S0199,0.16402838233493566
S0051,S0141,0.07181595700116239
S0012,S0051,0.16624782767344637
S0124,S0171,0.1620281057464249
S0071,S0124,0.23834755280842812
S0119,S0124,0.13211488530801885
S0017,S0124,0.09904242618585879
S0104,S0124,0.1396995692325278
S0035,S0178,0.08313603136978465
S0035,S0094,0.09563384747486958
S0077,S0143,0.045733140888680746
S0124,S0143,0.13978949931196638
S0018,S0182,0.12522523041066236
S0123,S0140,0.08527452284557435
S0078,S0123,0.17526697407927982
S0040,S0185,0.15743106534126639
S0040,S0081,0.07368893209881988
S0010,S0173,0.1623124110539551
S0035,S0173,0.10341091035688443
S0063,S0173,0.07839962216048446
S0041,S0127,0.07292469759800269
S0041,S0125,0.08798591691554525
S0036,S0066,0.06387114026497964
S0043,S0067,0.07806421065930913
S0034,S0067,0.036034280904936544
S0107,S0140,0.0837135890740961
S0107,S0175,0.04383053944639326
S0029,S0144,0.18325133259260162
S0047,S0123,0.09218136256075782
S0033,S0129,0.13467673338388209
S0033,S0175,0.08900208629528406
S0004,S0058,0.07703781423116574
S0037,S0155,0.0787053501296221
S0150,S0155,0.0748519345858919
S0002,S0004,0.16866470491416596
S0117,S0120,0.04221637892309704
S0046,S0099,0.10059695368219268
S0032,S0117,0.11191798157016875
S0030,S0117,0.11610323024096503
S0015,S0120,0.12673552320772807
S0015,S0173,0.16658911921581732
S0167,S0186,0.04378549058349912
S0104,S0186,0.06728815471016003
S0099,S0186,0.1506036803611951
S0025,S0100,0.11247682340102061
S0171,S0181,0.17823063836608832
S0119,S0128,0.052342701797642444
S0053,S0133,0.13186019066418653
S0073,S0133,0.0707108996977065
S0142,S0199,0.205102185865091
S0142,S0143,0.04245409905152975
S0005,S0070,0.17566824987500618
S0005,S0181,0.10274608429356802
S0112,S0142,0.05103104114346502
S0049,S0154,0.07340130353202812
S0049,S0189,0.10892005543835026
S0049,S0060,0.06168976092405698
S0049,S0126,0.0854299438656213
S0020,S0049,0.07306305614854858
S0018,S0049,0.08919328238973989
S0134,S0186,0.049498873468963756
S0323,S0443,0.04778183174260209
S0435,S0437,0.14619302363433417
S0225,S0429,0.07628610969081595
S0227,S0428,0.10635901368293466
S0382,S0424,0.0657402086904707
S0409,S0423,0.05515147355615957
S0229,S0416,0.06875504558995527
S0296,S0416,0.08944576411485683
S0398,S0409,0.04625905907431849
S0247,S0404,0.07570299340741082
S0384,S0425,0.13951955373389002
S0384,S0394,0.05274215313883046
S0377,S0403,0.05207788994985163
S0373,S0406,0.05470043826798965
S0286,S0297,0.07348008518195182
S0284,S0297,0.08136671552281172
S0284,S0410,0.06853855209650361
S0284,S0391,0.0670726514826866
S0372,S0416,0.055643349199815395
S0283,S0386,0.05323777730293511
S0370,S0407,0.07522075549906271
S0359,S0387,0.10900666801512227
S0374,S0381,0.05249980922801112
S0343,S0423,0.05878082666313733
S0343,S0410,0.08273844776488182
S0334,S0389,0.0768883079421433
S0334,S0373,0.08820199494699921
S0329,S0376,0.28240560464003917
S0329,S0419,0.2945714933217023
S0279,S0390,0.06703185682781576
S0278,S0404,0.085552591790519
S0325,S0361,0.1618170429174699
S0354,S0384,0.06300532548368132
S0298,S0396,0.1044024254699667
S0285,S0396,0.09974602804005361
S0279,S0371,0.08549858607410732
S0319,S0403,0.06857865752407488
S0319,S0419,0.07892038079795405
S0331,S0430,0.09043820955286952
S0321,S0416,0.140392232087585
S0314,S0382,0.0713810856089
S0336,S0379,0.15356631084972894
S0349,S0376,0.030788126936128868
S0329,S0334,0.2968213414726224
S0247,S0329,0.2790022018719879
S0299,S0369,0.08513480652302419
S0276,S0278,0.07157999706183538
S0293,S0317,0.05098911572804932
S0333,S0404,0.07131176141172213
S0332,S0380,0.035501770196973426
S0227,S0331,0.11919590005411695
S0319,S0331,0.03697219661488671
S0319,S0321,0.19430045062084056
S0218,S0349,0.1127638219272512
