Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
S0081	GA03	20	1646816	1060	2011-12-04T16:31:48.000	324.13251	22.3509
S0082	GA03	10	1701731	40	2011-11-20T15:13:06.000	295.83051	31.75
S0083	GA03	10	1701731	75	2011-11-20T15:13:06.000	295.83051	31.75
S0084	GA03	10	1701731	90	2011-11-20T15:13:06.000	295.83051	31.75
S0085	GA03	10	1701731	110	2011-11-20T15:13:06.000	295.83051	31.75
S0086	GA03	10	1701731	185	2011-11-20T15:13:06.000	295.83051	31.75
S0087	GA03	10	1701731	235	2011-11-20T15:13:06.000	295.83051	31.75
S0089	GA03	10	1701731	420	2011-11-20T15:13:06.000	295.83051	31.75
S0090	GA03	16	1646690	40	2011-11-29T18:47:15.000	315.17358	26.1362
S0091	GA03	16	1646690	60	2011-11-29T18:47:15.000	315.17358	26.1362
S0092	GA03	16	1646690	90	2011-11-29T18:47:15.000	315.17358	26.1362
S0093	GA03	16	1646690	115	2011-11-29T18:47:15.000	315.17358	26.1362
S0094	GA03	16	1646690	135	2011-11-29T18:47:15.000	315.17358	26.1362
S0095	GA03	16	1646690	185	2011-11-29T18:47:15.000	315.17358	26.1362
S0096	GA03	16	1646690	235	2011-11-29T18:47:15.000	315.17358	26.1362
S0097	GA03	16	1646690	265	2011-11-29T18:47:15.000	315.17358	26.1362
S0098	GA03	24	1702228	38	2011-12-10T01:37:58.000	335.50009	17.3999
S0099	GA03	24	1702228	72	2011-12-10T01:37:58.000	335.50009	17.3999
S0100	GA03	24	1702228	90	2011-12-10T01:37:58.000	335.50009	17.3999
S0101	GA03	24	1702228	135	2011-12-10T01:37:58.000	335.50009	17.3999
S0102	GA03	24	1702228	185	2011-12-10T01:37:58.000	335.50009	17.3999
S0103	GA03	24	1702228	235	2011-12-10T01:37:58.000	335.50009	17.3999
S0104	GA03	24	1702228	286	2011-12-10T01:37:58.000	335.50009	17.3999
S0105	GA03	14	1646613	40	2011-11-26T20:45:20.000	310.3671	27.583
S0106	GA03	14	1646613	70	2011-11-26T20:45:20.000	310.3671	27.583
S0107	GA03	14	1646613	100	2011-11-26T20:45:20.000	310.3671	27.583
S0108	GA03	14	1646613	115	2011-11-26T20:45:20.000	310.3671	27.583
S0109	GA03	14	1646613	135	2011-11-26T20:45:20.000	310.3671	27.583
S0110	GA03	14	1646613	185	2011-11-26T20:45:20.000	310.3671	27.583
S0111	GA03	14	1646613	235	2011-11-26T20:45:20.000	310.3671	27.583
S0112	GA03	14	1646613	285	2011-11-26T20:45:20.000	310.3671	27.583
S0114	GA03	1	1646123	30	2011-11-07T19:12:24.000	290.1861	39.6941
S0115	GA03	1	1646123	58	2011-11-07T19:12:24.000	290.1861	39.6941
S0116	GA03	1	1646123	90	2011-11-07T19:12:24.000	290.1861	39.6941
S0117	GA03	1	1646123	110	2011-11-07T19:12:24.000	290.1861	39.6941
S0118	GA03	1	1646123	135	2011-11-07T19:12:24.000	290.1861	39.6941
S0119	GA03	1	1646123	185	2011-11-07T19:12:24.000	290.1861	39.6941
