asample|bsample,BCdis
S0025|SS0043,0.08712722203010603
S0017|S0019,0.07310346652714117
SS0041|SS0155,0.09484079074495622
SS0154|SS0155,0.10213952046126695
S0005|S0011,0.10052956975963434
S0002|SS0155,0.11133263796790882
S0002|SS0040,0.0824698536571653
S0026|SS0047,0.11645651266095103
S0022|SS0048,0.10992372251897164
S0025|SS0034,0.04463647187518127
S0011|SS0151,0.270239008306683
S0017|SS0041,0.0642823865385217
S0015|S0020,0.06871125126406208
SS0041|SS0153,0.10096137849817355
S0004|SS0150,0.1493636657426083
S0006|S0015,0.0850622411666555
S0006|SS0150,0.09486389162807374
SS0046|SS0151,0.16356077754064746
S0011|S0013,0.05033152087531734
S0020|SS0033,0.08355461695322786
S0015|S0018,0.08841218540772178
S0019|SS0156,0.1657211112798147
S0019|SS0043,0.09369430255569322
S0001|SS0042,0.24263457256700527
S0012|SS0042,0.16446621011749762
S0003|S0012,0.15023021025330596
S0001|S0017,0.24140401585054538
S0001|S0005,0.28816176876987165
S0026|SS0157,0.13283928011943957
S0029|SS0151,0.24185692967026806
S0017|S0025,0.06215736735077659
SS0153|SS0156,0.16094916594384356
S0004|S0026,0.11794836499028605
S0006|S0026,0.06261091006773467
S0009|SS0033,0.10909994222882902
SS0043|SS0154,0.13033709475904987
S0021|SS0043,0.1031620218959961
S0019|SS0045,0.11400328216834033
S0001|S0021,0.2617904170770502
S0025|SS0040,0.08464421198422045
S0020|SS0035,0.09651745742765827
S0002|S0006,0.09673675402662485
SS0039|SS0149,0.12440442287795705
SS0039|SS0153,0.11554464652198604
S0009|S0025,0.09688555131108334
S0010|S0028,0.09891677658581755
S0010|S0016,0.058851378997034076
SS0045|SS0150,0.09160882618797572
S0006|SS0033,0.0964623586886516
S0024|SS0043,0.0856100486065613
S0019|SS0151,0.19541445256151047
S0003|SS0039,0.07515517333351907
S0003|SS0157,0.10384526750887035
S0016|SS0040,0.12197198211985538
S0028|SS0040,0.15382313836078654
SS0036|SS0039,0.06082916677479533
SS0035|SS0041,0.08541367785866649
S0006|SS0035,0.059974269128762026
S0023|SS0035,0.08384743190164157
S0002|SS0042,0.09574742233556599
S0024|S0026,0.06043492326093003
S0028|SS0156,0.1877693623839679
S0023|SS0042,0.10191931414107436
S0011|SS0156,0.2388429414350658
SS0039|SS0045,0.051048667068554265
S0015|SS0039,0.12607903061263392
S0015|S0024,0.08333558332196622
S0004|S0021,0.11735479352629352
S0015|SS0037,0.07947590960057771
S0004|S0006,0.09930369181447452
S0009|S0013,0.09306290171082288
SS0033|SS0157,0.16842750846433663
S0017|SS0033,0.11239875762916585
S0020|SS0043,0.11163779536941032
S0019|S0020,0.050939965239412244
S0018|SS0048,0.11379210973930609
S0019|SS0033,0.08221917814193502
SS0155|SS0157,0.12051111376613766
S0005|SS0157,0.15372860824469503
S0003|SS0037,0.0786080089155543
S0003|S0022,0.07054179655608583
S0003|S0021,0.07952072236653984
SS0036|SS0040,0.08048475016375212
S0013|SS0036,0.10920537970030131
S0002|S0018,0.07832657111564645
S0025|SS0048,0.10326700647111031
S0020|S0026,0.09474617604598679
S0021|S0024,0.05484041413417362
S0013|SS0048,0.11321662016648248
SS0039|SS0150,0.06749277376514784
SS0045|SS0047,0.1448955308043397
SS0041|SS0048,0.1066146021729577
SS0149|SS0154,0.07347901829515946
S0015|SS0047,0.09918459625618015
SS0151|SS0153,0.19374647160169367
S0009|S0028,0.10099348549837639
S0010|SS0041,0.10831419551960109
S0010|S0018,0.09406047556388653
S0018|SS0037,0.06547734541356032
S0019|SS0046,0.08960761126867467
S0018|S0029,0.11966418675241397
S0029|SS0155,0.11934343844603157
S0008|S0011,0.20904174731531833
S0008|SS0149,0.16060281483750383
S0004|S0008,0.19097455830672772
S0012|SS0156,0.23423328711301816
S0003|SS0042,0.08533677796976402
S0003|SS0158,0.11182506570124362
SS0033|SS0040,0.13779959598615743
SS0035|SS0046,0.06300608234172855
S0025|S0029,0.09932799166604855
SS0046|SS0047,0.10541782964841606
S0013|S0016,0.07976520377442264
S0021|SS0150,0.08020722743086905
SS0149|SS0150,0.10748315297306332
S0020|SS0041,0.12370085611621928
S0004|S0015,0.07728482840823792
S0004|SS0151,0.2492721228651802
SS0037|SS0039,0.07801301448657949
S0011|SS0045,0.18501820959755588
S0017|SS0150,0.07796661621988321
SS0043|SS0158,0.11407779054366918
S0001|S0029,0.3428052070593419
S0008|SS0155,0.11883518831910811
S0012|S0023,0.11487599230371537
S0001|SS0034,0.2586881004983279
SS0040|SS0155,0.10387390776630723
S0002|SS0156,0.09876469909961316
S0002|S0021,0.10005950852729395
S0024|SS0047,0.10963374536017745
S0021|S0028,0.09573577678421685
S0009|S0024,0.10119168188339422
S0009|S0029,0.09127349255075878
SS0037|SS0157,0.1336842390683064
SS0037|SS0047,0.09509934032499279
S0006|S0028,0.11653082579822949
S0029|SS0045,0.16070114638643795
SS0045|SS0151,0.10913348433438042
SS0033|SS0153,0.09354014566437996
S0011|S0018,0.14389307218855674
SS0042|SS0155,0.10169601585392585
S0008|SS0046,0.13577371320257559
S0005|SS0042,0.09648407422952476
S0005|S0017,0.07247869580908528
S0001|SS0046,0.27539291013156775
S0001|SS0155,0.26572151247635023
SS0040|SS0157,0.1026419754463157
S0016|SS0035,0.08871426731850152
S0002|S0025,0.09845338433357709
S0026|S0027,0.10272688454775913
S0020|SS0047,0.09066873275636378
S0029|SS0039,0.14993494494746828
S0013|SS0157,0.20358853318095593
S0024|SS0034,0.06076652319034792
SS0041|SS0047,0.11856293849765964
S0022|SS0041,0.07906098331726719
SS0041|SS0046,0.09069625469349851
SS0047|SS0154,0.10404520212666901
S0004|SS0045,0.16336461675716818
SS0034|SS0046,0.06244116642488873
SS0043|SS0157,0.14611234881145352
S0026|SS0043,0.09366228164780666
S0019|SS0037,0.061713622473594576
SS0047|SS0155,0.10657558629429242
S0012|S0029,0.052649487217340196
S0008|SS0035,0.12965532704365335
S0002|S0003,0.05639793288085804
S0025|SS0149,0.0845323976898481
S0025|S0028,0.10223176124368072
SS0047|SS0158,0.09221103999762648
S0024|S0029,0.10528673064247263
S0020|S0027,0.13654932920964102
S0011|S0025,0.12509369409539317
SS0041|SS0157,0.11430772198922512
S0013|SS0153,0.09424196623994241
S0009|S0026,0.10953100525862114
SS0033|SS0045,0.12316416499944638
S0019|S0027,0.11478851727776607
S0008|S0017,0.09548849446173657
S0005|S0020,0.07197873212181538
S0012|S0017,0.1426586450509041
SS0036|SS0153,0.08305561386957261
SS0036|SS0157,0.12155318528775094
SS0035|SS0150,0.09167553823119645
S0002|SS0033,0.14706957150971778
S0029|SS0048,0.11184856665354526
S0017|S0022,0.06721077712165469
S0020|S0023,0.08229563381379157
S0021|SS0042,0.10611689589037632
SS0041|SS0158,0.1208906928737461
S0015|S0026,0.09412086898059524
S0017|S0018,0.03622705175605423
SS0039|SS0155,0.08417932412501228
S0008|S0022,0.09555817466182626
S0005|S0016,0.05476680330088379
SS0040|SS0151,0.09147530048868124
SS0036|SS0154,0.10706028856927396
S0002|SS0153,0.12863211658680018
S0027|SS0048,0.13823547571680272
SS0047|SS0156,0.19894480939120052
S0026|SS0156,0.13336343145432972
S0022|S0023,0.04293225609091034
S0021|S0023,0.04298565525495446
S0020|S0024,0.093978813569354
S0013|SS0039,0.1463623865166901
S0027|SS0034,0.09870903969658285
S0013|SS0042,0.14255073599406165
SS0041|SS0156,0.11584427723113977
S0029|SS0154,0.08371540784544562
S0015|SS0041,0.10372470039245751
S0009|SS0154,0.10189366659243504
SS0033|SS0042,0.10799929553765975
S0001|SS0047,0.32666286380447296
S0010|SS0155,0.10645973866529668
S0008|SS0154,0.1588002451317242
S0008|S0024,0.10179407164717769
S0008|S0018,0.09756575091883934
S0005|SS0047,0.09865125885200343
S0001|S0022,0.24618531760906348
S0012|S0027,0.17241794281553235
SS0040|SS0046,0.09091914226130215
SS0035|SS0045,0.06923452888580583
SS0035|SS0039,0.07707124142530686
S0023|SS0047,0.09979745581058341
S0025|SS0150,0.07910069626506744
S0025|SS0151,0.15928071216809725
S0016|SS0156,0.16460366185432007
S0017|S0026,0.06845826869381877
SS0048|SS0156,0.18454999659038152
S0020|SS0034,0.09427712196289673
SS0042|SS0149,0.1269483226096516
SS0034|SS0047,0.10936021251632833
SS0046|SS0154,0.12931990400661053
S0022|SS0153,0.0770659064113931
S0010|SS0039,0.12535624940681422
S0013|SS0037,0.09533056935153916
S0017|SS0046,0.09389818087912272
S0011|S0021,0.1323868214921412
S0019|SS0153,0.07419066879258407
SS0035|SS0037,0.06993351587627561
S0002|SS0154,0.1506058239157153
S0002|S0016,0.11219777898248529
SS0151|SS0157,0.11200019435376984
S0022|S0027,0.07011609766678784
S0029|SS0158,0.06347943690435198
S0027|SS0151,0.1497303502889723
SS0039|SS0156,0.08179270855352361
S0016|S0023,0.05307786558574912
S0016|SS0157,0.15071616292370482
SS0045|SS0158,0.1438793483543931
S0027|SS0041,0.10030147315323712
S0024|SS0154,0.10097977575109962
S0027|SS0154,0.11052530629287571
S0015|S0025,0.08391777784062615
S0021|SS0153,0.07419124244124697
S0010|SS0046,0.11292801912273409
S0006|SS0034,0.056439250714062195
S0006|S0018,0.057395052700057625
S0005|S0019,0.04831298685651608
S0012|SS0047,0.1117605171894055
S0003|SS0047,0.12941441119930197
S0003|S0008,0.0846751277937694
S0004|SS0036,0.11862355290494775
S0001|SS0151,0.14645277021327352
S0028|SS0047,0.11923246409832022
SS0046|SS0157,0.14356654301977279
S0021|SS0048,0.10387848911977371
S0020|SS0042,0.1306946277187362
S0013|S0022,0.12353628404214623
SS0041|SS0045,0.0797536671473269
S0009|SS0149,0.09484126407734306
S0004|SS0158,0.07321050273428409
S0010|SS0150,0.11993646602655361
S0009|S0015,0.09267954630583908
S0009|S0018,0.11315223830517718
SS0155|SS0156,0.13457245155991626
S0008|SS0034,0.11428486991952724
S0005|SS0034,0.06936043973141826
S0012|SS0150,0.163060840282518
S0020|SS0036,0.09619077159075307
SS0035|SS0154,0.11402297622805457
S0001|SS0035,0.2727699368728769
S0025|SS0157,0.13006720450006515
S0022|SS0157,0.10638427328110733
S0027|SS0150,0.07060616206985348
S0016|S0022,0.07211292360238619
S0017|S0024,0.054196547537955664
SS0034|SS0042,0.08001758768892464
S0004|SS0154,0.10773074540651284
S0004|SS0034,0.11776508076788317
S0004|S0017,0.1299243485399748
S0006|SS0037,0.06782716166567804
SS0033|SS0156,0.18000138470454796
S0019|S0026,0.0697690297344743
S0019|S0025,0.05640717825180741
S0018|SS0045,0.07856391309927313
S0008|S0028,0.16448070763340727
S0008|S0026,0.11874396619974015
S0012|SS0041,0.15702242847787917
S0012|SS0155,0.14349475676024714
S0009|SS0040,0.15499115730930768
S0001|S0019,0.29702634945415685
S0002|S0023,0.10110542733937178
S0029|SS0046,0.1251225448704565
S0013|S0024,0.11037254320190593
SS0039|SS0151,0.10795853853388226
S0023|SS0154,0.086164527547954
SS0151|SS0154,0.21520550988340525
S0015|S0028,0.11175647438066416
S0025|SS0153,0.08178604123741073
S0004|SS0157,0.20421180069955813
S0006|S0023,0.0719248318305934
SS0034|SS0151,0.14890840174823228
S0019|SS0047,0.0940878770594703
S0018|SS0034,0.05839804272053084
S0022|SS0155,0.07491613735364833
S0012|S0026,0.13110935417690883
S0012|SS0046,0.14054010916703485
S0003|SS0033,0.11450195770080873
S0012|S0018,0.13783942682997397
S0001|S0012,0.36622816981798334
S0026|SS0040,0.09275773748162963
S0016|SS0036,0.07594257205735122
SS0035|SS0042,0.08349973058941718
S0023|SS0048,0.09998679407158628
S0021|SS0047,0.10835700486447442
S0011|SS0048,0.12911781786037746
S0017|SS0048,0.11634492020078391
SS0039|SS0154,0.13867207289582806
S0010|S0021,0.08246656498489036
S0004|SS0046,0.12770258294510184
SS0037|SS0151,0.16583136286623834
SS0043|SS0151,0.17394508793216046
S0004|S0018,0.12575318017646608
S0019|SS0150,0.10003216958969985
S0018|S0028,0.12466663053730864
S0024|SS0155,0.07206571611803747
S0001|SS0043,0.2778111624149028
SS0036|SS0158,0.09865533851483721
S0024|SS0036,0.057700544372805695
S0001|S0008,0.17007125787977306
S0027|SS0035,0.11499181301020878
S0028|SS0149,0.10085809974529492
S0024|SS0157,0.11370743817381057
SS0042|SS0048,0.10852809319426815
S0015|S0023,0.06846781692752535
S0004|S0027,0.15662424473717962
S0009|S0021,0.09506536561915191
S0018|S0026,0.06221927367451496
S0005|S0028,0.11356366062656864
S0010|SS0040,0.140744273124229
S0006|SS0040,0.09229274991000247
S0006|SS0036,0.06514431087143269
S0002|SS0047,0.16172608840581093
S0017|SS0039,0.06999881454396217
SS0042|SS0150,0.09730666104142549
S0017|SS0047,0.12699322083604125
S0025|SS0154,0.09690031770039487
S0015|SS0045,0.13692054035366708
SS0045|SS0153,0.13092030974389213
SS0037|SS0149,0.07406517820872827
S0006|S0017,0.06272311693739785
S0017|SS0034,0.0674518970666178
SS0033|SS0039,0.11627462364520691
SS0033|SS0043,0.07522413254912019
SS0033|SS0150,0.11154024186720546
S0018|SS0157,0.11657667522066262
SS0034|SS0155,0.07171875511055403
S0008|SS0157,0.0699306352628053
S0008|S0021,0.10883597083428609
S0003|SS0041,0.0660405364207548
SS0156|SS0157,0.09150762584031746
S0028|SS0039,0.14301177393194364
SS0039|SS0158,0.1346539715122016
S0021|S0027,0.07884435592902561
SS0034|SS0158,0.09901829460860112
SS0046|SS0048,0.09676481997420627
S0016|SS0041,0.08596106373627521
SS0047|SS0153,0.09611857925614531
S0009|SS0153,0.10305330928949574
S0010|S0027,0.127548752209251
S0025|SS0037,0.05987410237404478
S0026|SS0037,0.07342748900650242
S0006|SS0039,0.0812370363638204
SS0045|SS0046,0.07270535199302297
S0021|SS0046,0.10251991901477364
SS0037|SS0043,0.07630939367498724
S0009|S0019,0.08763815505430173
S0018|S0024,0.05042967013478972
SS0033|SS0155,0.07997844953209987
S0001|SS0158,0.31922829221603555
S0005|SS0149,0.08174347097526957
S0003|SS0156,0.11759502593210602
S0005|SS0035,0.07537846233268408
S0002|SS0041,0.07748885907720648
S0023|SS0157,0.12682838948503294
SS0150|SS0156,0.0942842459476565
S0020|SS0151,0.22758937555007674
SS0048|SS0158,0.10089129036684563
S0011|SS0047,0.11280204730168408
S0004|S0020,0.06040772277703077
S0022|SS0037,0.07560154475342928
S0006|S0013,0.09537184904378271
S0017|S0029,0.12283895636786668
S0022|SS0045,0.1031771131083905
SS0041|SS0043,0.08724303032176062
S0004|SS0043,0.12615217192190997
SS0045|SS0155,0.10088425689037595
S0008|SS0156,0.08851621478299687
S0008|S0013,0.18864351782896505
SS0036|SS0045,0.07759736392254468
SS0035|SS0155,0.08550140732796341
S0021|SS0035,0.08984448092559383
S0002|SS0037,0.10672860849838262
S0023|S0027,0.08124837181717826
S0016|SS0048,0.10050777714880521
S0013|SS0047,0.09935228856936829
S0013|S0027,0.154552223266069
S0021|SS0034,0.07673752076745943
SS0042|SS0046,0.07506878890525637
S0009|SS0046,0.1290419167717176
S0004|SS0037,0.1044763857168084
S0023|SS0037,0.06271495299692398
S0011|SS0037,0.118856987031566
S0006|SS0156,0.14005680417439859
S0015|SS0033,0.09701595775348992
S0019|SS0041,0.0933136409647416
S0018|SS0151,0.14268312050031862
S0020|SS0155,0.10984543780366463
S0003|S0006,0.06864311125679101
S0003|S0024,0.061391980974613625
S0011|SS0040,0.19388451384602057
SS0036|SS0047,0.10354535060677406
S0002|S0022,0.08536853234422936
S0001|S0002,0.19183014856108993
S0028|SS0158,0.09533424907549926
S0020|S0022,0.10708719325644667
S0029|SS0150,0.1364378787941175
S0022|SS0046,0.10353684169597954
S0026|SS0039,0.08130592651247559
SS0048|SS0151,0.21234890317882793
S0020|SS0048,0.1017198757001978
S0017|SS0149,0.10870488789206134
S0015|SS0156,0.18358505062176966
S0010|SS0153,0.0846185178913208
S0006|SS0158,0.09614794831270457
S0006|S0027,0.1134571991295219
S0013|S0018,0.11516641027327523
S0001|S0013,0.3452284986286154
S0025|SS0155,0.08005485506937227
S0008|SS0048,0.16020673513409345
S0005|SS0039,0.09882250433318629
S0005|S0018,0.06736163656163496
S0012|SS0045,0.17887357907903045
S0012|SS0149,0.08583616227150681
S0012|S0020,0.06154001652236085
S0001|SS0157,0.16811703675043643
S0025|SS0042,0.08631000571467651
SS0045|SS0048,0.1295021501262419
SS0046|SS0149,0.10285553354370225
SS0045|SS0149,0.1369678397186942
S0028|SS0154,0.09786623394751115
SS0150|SS0153,0.08923362039491722
S0011|S0020,0.06913868360101594
SS0043|SS0156,0.1489629525544962
S0009|SS0043,0.12841505235177586
S0017|SS0155,0.09108230464964484
S0008|SS0043,0.1367521005336343
S0005|S0010,0.06587192982834034
SS0150|SS0157,0.09265660103793483
S0022|S0028,0.1015377297747766
S0013|S0028,0.11700953013155535
S0026|SS0034,0.06360719190838215
S0026|SS0154,0.11104108695771164
S0011|SS0154,0.1113259315946592
S0004|S0024,0.11579726893129483
S0006|SS0154,0.11330658728277676
S0006|S0016,0.06734393558035057
S0006|S0025,0.05071624164033717
S0010|S0019,0.06251044898923108
S0003|S0018,0.05924428281614236
S0022|SS0036,0.07191227985729975
S0021|SS0036,0.0744750840778945
S0001|SS0036,0.25512445256352156
S0002|S0029,0.16960428592799082
S0026|SS0149,0.09759484478615688
S0026|SS0046,0.08630775822315417
S0025|SS0039,0.07376008550588531
S0017|SS0158,0.11205373959350129
S0020|SS0046,0.10886304043103945
SS0042|SS0153,0.12405031968701274
S0010|SS0045,0.1355690823096969
S0006|SS0042,0.08490603426940613
S0020|SS0045,0.14338840071867887
SS0033|SS0149,0.0688663499961839
S0029|SS0033,0.09131471156434412
S0019|S0028,0.10488205975964882
S0019|S0021,0.07950149225985048
S0001|SS0153,0.28753068464721976
S0008|SS0045,0.10524874522508476
S0012|SS0033,0.10954849928905175
S0003|S0011,0.1514182790730738
SS0036|SS0048,0.10067104534756866
S0011|SS0036,0.135585713196256
S0008|SS0036,0.10891826052345421
SS0035|SS0048,0.10281022008539709
