sampleid,norm_cnt,cnt_norm_cnt
S0004,2.3587195917641102E-7,2368
S0004,9.46566100446935E-8,8813
S0004,1.9739366241027546E-7,3154
S0004,8.31900776083851E-7,134
S0004,6.271962372880097E-8,8675
S0004,1.346740386814745E-7,5918
S0004,5.8102228116864705E-8,8343
S0004,2.4279805259431543E-7,2210
S0004,2.470306652385903E-7,2037
S0004,1.3979165215137053E-6,47
S0004,3.9363297591756687E-7,830
S0004,1.9123713492769377E-7,3319
S0004,5.540874734323522E-8,8043
S0004,6.441266878651094E-7,306
S0004,1.9100626514709697E-6,13
S0004,3.7016121489022415E-7,952
S0004,3.270655225121523E-7,1211
S0004,1.4956513952996895E-6,27
S0004,2.4125892072367E-7,2264
S0004,3.4053292638029976E-7,1139
S0004,5.38696154725898E-7,449
S0004,1.9470018163664596E-7,3192
S0004,4.6558739087024036E-7,614
S0004,6.245027565143803E-7,281
S0004,1.095861891899541E-6,61
S0004,1.0266009577204968E-6,79
S0004,7.703355012580341E-7,207
S0004,3.3014378625344315E-7,1236
S0004,1.8192538711028897E-6,17
S0004,6.191157949671213E-7,323
S0004,1.5402862195484068E-6,36
S0004,5.379265887905752E-7,393
S0004,8.596051497554686E-7,119
S0004,6.475897345740616E-7,294
S0004,1.2024467739417364E-6,64
S0004,2.0235736269310694E-6,16
S0004,6.618267043775317E-7,247
S0004,2.455684899614772E-6,6
S0004,6.341223307059142E-7,303
S0004,6.364310285118823E-7,280
S0004,9.611878532180664E-7,100
S0004,3.3152900493702407E-6,3
S0004,1.994714904356468E-6,14
S0004,1.7950125441402241E-6,14
S0004,9.300204328374966E-7,104
S0004,1.9423844207545234E-6,11
S0004,1.8134821265879692E-6,16
S0004,6.225788416760735E-7,300
S0004,1.7630755578243317E-6,29
S0004,9.94279188436943E-7,94
S0004,2.232125995403524E-6,6
S0004,4.875200200269376E-7,560
S0004,1.4113839253818526E-6,42
S0004,8.434442651136916E-7,159
S0004,1.2086033014243182E-6,63
S0004,2.196341179411018E-6,6
S0004,1.1462684606631786E-6,55
S0004,1.650718931267216E-6,26
S0004,1.0727749138398597E-6,80
S0004,9.080878036807994E-7,109
S0004,8.911573531036997E-7,146
S0004,3.019391947238658E-6,3
S0004,8.557573200788551E-7,158
S0004,1.698432019257224E-6,27
S0004,6.264266713526871E-7,323
S0004,9.377160921907237E-7,94
S0004,2.130158508973265E-6,9
S0004,2.4726153501918714E-6,5
S0004,1.767692953436268E-6,19
S0004,4.24608004814306E-6,1
S0004,1.5614492827697813E-6,28
S0004,9.003921443275723E-7,97
S0004,2.3871935313710505E-6,8
S0004,1.9085235196003243E-6,14
S0004,2.970909293313327E-6,3
S0004,2.0582040940205917E-6,10
S0004,1.2747859718620713E-6,41
S0004,6.87722598101141E-6,2
S0004,1.84772781070983E-6,17
S0004,1.5060405354265461E-6,27
S0004,2.1782563799309343E-6,10
S0004,1.5895384394090604E-6,33
S0004,6.036475196671348E-6,1
S0004,2.0682084511797868E-6,15
S0004,1.731908137443762E-6,17
S0004,5.076056909388604E-6,1
S0004,2.0547410473116394E-6,11
S0004,4.264549630590805E-6,2
S0004,2.8989548783606536E-6,4
S0004,3.4945989123004323E-6,1
S0004,2.287149959779098E-6,11
S0004,1.789240799625304E-6,12
S0004,2.0085670911922768E-6,10
S0004,1.7161320357696463E-6,17
S0004,2.3791130890501623E-6,9
S0004,2.949361447124291E-6,3
S0004,5.826768479295909E-6,2
S0004,2.328321737318863E-6,8
S0004,2.152860704065285E-6,11
S0004,1.8954408986998381E-6,12
S0004,1.7626907748566703E-6,15
S0004,2.461456644129692E-6,10
S0004,2.133236772714556E-6,12
