asample,bsample,JaccardDistance
S0028,SS0045,0.26380099335079576
S0003,SS0048,0.21172322124488818
S0019,SS0158,0.13652335444163088
S0003,SS0035,0.16659352113835835
S0005,S0009,0.16590609889646413
S0005,SS0043,0.16181770504370807
SS0040,SS0041,0.14864360744075378
S0029,SS0040,0.2879809827502279
SS0037,SS0040,0.17521892021040286
S0001,SS0048,0.4717183524854397
S0022,S0025,0.1282206100295773
S0022,SS0034,0.13959706166152097
S0020,SS0149,0.12316936467089257
S0026,SS0033,0.18097429531392784
SS0034,SS0150,0.13372738857000388
S0008,S0012,0.34499312868661103
S0025,SS0045,0.1511511162264536
S0021,SS0151,0.290861446301375
S0002,SS0151,0.21051624973987748
S0013,S0017,0.21656126103444862
S0013,S0021,0.20604825784205927
S0003,S0025,0.13879628575698844
S0004,S0009,0.17397197960906174
S0006,S0029,0.19009573565125026
S0028,SS0048,0.21389246567639686
SS0043,SS0045,0.16555723009151857
SS0035,SS0047,0.1961307627405019
S0005,SS0150,0.1873334228585538
S0004,SS0040,0.29627874193711135
S0003,SS0040,0.1588030331502034
S0015,SS0036,0.16913831091147702
SS0042,SS0157,0.2240896170144414
S0021,SS0157,0.21260320762784812
SS0045,SS0154,0.2616096195490134
S0003,SS0154,0.22623727337872834
S0009,SS0034,0.1989461442693531
S0009,S0027,0.24846937539649583
S0003,S0004,0.22606401639440044
S0004,S0010,0.14578318886357766
SS0153,SS0158,0.14551825022098763
S0008,SS0153,0.24046753559961276
S0012,SS0153,0.19433690454275732
S0027,SS0037,0.1735081111564757
S0006,S0024,0.12149684576313591
S0006,SS0043,0.16089103682288608
S0021,SS0155,0.14294273922976375
S0018,SS0046,0.15787828021632966
S0005,SS0153,0.1599481888661819
S0005,S0025,0.11123314903696346
S0005,S0012,0.1725556283997266
SS0040,SS0043,0.19465437593892854
S0013,SS0040,0.2843535252968087
SS0034,SS0151,0.2592169929264083
SS0039,SS0151,0.1948780220026749
S0012,SS0046,0.24644483440336085
S0012,S0026,0.2318243468471063
S0003,SS0033,0.2054746396549817
S0029,SS0046,0.22241584236168155
S0013,S0024,0.198802713717262
S0022,SS0155,0.13938964853007918
SS0151,SS0154,0.35418784416810745
S0023,SS0154,0.158658334649304
S0015,S0028,0.20104488160128442
S0004,SS0157,0.3391625967806068
S0025,SS0153,0.15120557692510783
S0006,S0023,0.13419752895874815
S0019,SS0047,0.17199322823209007
S0012,S0018,0.24228272088955616
S0018,SS0034,0.11035153763903327
SS0035,SS0042,0.1541295415546159
S0026,SS0040,0.16976778838930529
S0016,SS0036,0.141164648062445
S0001,S0012,0.5361156470636544
S0008,SS0149,0.2767575828428237
S0025,SS0048,0.18720205296918002
S0008,S0011,0.34579740158599614
SS0039,SS0150,0.12645065486869955
SS0045,SS0047,0.2531156984415832
S0020,S0026,0.1730901869994511
S0012,SS0156,0.37956080031013606
S0003,SS0158,0.20115289373684808
S0003,SS0042,0.15725392582533304
S0029,SS0155,0.21323815063221274
S0015,SS0047,0.18046940722057914
SS0149,SS0154,0.13689884393242546
S0009,S0028,0.18345882483158182
S0004,S0008,0.32070300238527716
SS0151,SS0153,0.32460237782607226
S0013,SS0048,0.20340435833584358
S0010,SS0041,0.19545748455884238
SS0041,SS0048,0.19268588661650188
S0021,S0024,0.10397856739125433
S0010,S0018,0.1719474492657056
S0019,SS0046,0.16447678858180703
S0018,S0029,0.21375008754002633
S0018,SS0037,0.12290699633593749
SS0035,SS0046,0.11854318931508157
SS0033,SS0040,0.2422186501689504
SS0048,SS0157,0.29035417006919984
S0024,SS0156,0.22248572507091768
S0020,SS0039,0.23517582641525725
S0025,SS0033,0.16248606036894275
S0017,S0021,0.1415699237895024
S0023,SS0149,0.1384033924695195
S0002,SS0039,0.14869844985550595
S0029,SS0149,0.12218827135860721
SS0150,SS0155,0.13918618404360472
S0023,SS0155,0.14110160212981182
S0021,S0029,0.1904965342069781
S0015,SS0034,0.17428931265621161
S0009,S0017,0.203417492539809
S0009,S0020,0.1610940609840381
S0010,S0023,0.1332767154177803
S0017,SS0153,0.1750265340228382
SS0043,SS0155,0.1692112972715163
S0024,SS0041,0.13019315708447898
S0019,SS0039,0.18567861619120563
S0019,S0024,0.12485358389625378
SS0040,SS0154,0.26390907586243595
S0010,SS0036,0.1698709168739152
S0026,SS0036,0.12694818134405017
SS0048,SS0156,0.31159496226683525
S0016,SS0156,0.28267756189643023
SS0034,SS0047,0.19715897517080294
S0025,SS0151,0.2747923095696271
S0017,S0026,0.1281437609749544
S0020,SS0034,0.1723070056961602
S0017,SS0046,0.1716761452777833
SS0042,SS0149,0.2252956727443488
S0025,SS0150,0.1466047882545548
S0023,SS0047,0.18148333637856462
S0002,S0016,0.20175868195876423
S0011,S0021,0.23381906598568225
S0002,SS0154,0.26178526265959046
SS0046,SS0154,0.22902262423216946
S0010,SS0039,0.22278495192745085
S0022,SS0153,0.14310341818946148
S0013,SS0037,0.1740672122534772
S0019,SS0153,0.13813307279782006
SS0035,SS0037,0.130724920524816
S0008,SS0034,0.20512669412556173
SS0046,SS0157,0.25108559514282314
S0020,SS0042,0.23117357433080188
S0012,SS0150,0.2803994734854228
S0013,S0022,0.21990616775902383
SS0155,SS0156,0.23722134550668672
S0009,SS0149,0.1732511683458937
S0009,S0015,0.16963719439824565
S0004,SS0158,0.13643046972632877
S0010,SS0150,0.21418430459305993
S0028,SS0047,0.2130611252317013
SS0041,SS0045,0.14772554492385903
S0021,SS0048,0.1882062004106959
S0009,S0018,0.20330052812801924
SS0035,SS0154,0.20470483897931568
S0005,SS0034,0.12972309080753075
S0020,SS0036,0.1754975373355121
S0001,SS0035,0.4286240396388963
S0022,SS0048,0.19807424138664942
S0011,SS0151,0.42549316552154925
S0025,SS0034,0.0854582163812122
S0020,SS0033,0.15421956497679812
S0026,SS0047,0.20861803433821247
SS0046,SS0151,0.28113834824572637
S0012,SS0042,0.28247480828416416
S0011,S0013,0.09583929960137305
S0003,S0012,0.2612176395892447
S0015,S0020,0.12858547694234945
S0004,SS0150,0.25990667875127227
S0006,SS0150,0.17328887200380982
S0006,S0015,0.15678776376033987
SS0041,SS0153,0.1834057779422571
S0017,SS0041,0.12079926056452495
S0015,S0018,0.16246083058870187
S0019,SS0043,0.17133539140169873
S0019,SS0156,0.2843236893466765
S0001,SS0042,0.39051624124558626
S0001,S0017,0.3889208287390029
S0001,S0005,0.4473999284275062
SS0048,SS0158,0.18328754857464158
S0008,SS0156,0.1626364652742205
S0020,SS0151,0.37078808534272556
S0011,SS0047,0.2027351541546928
SS0150,SS0156,0.17232123949619804
S0022,SS0045,0.18705446340674603
S0023,SS0157,0.2251068408792809
S0017,S0029,0.2188005726581017
S0008,S0013,0.31740974355743445
SS0045,SS0155,0.18327845263028353
S0004,S0020,0.11393139611764913
S0002,SS0037,0.1928722272996759
S0022,SS0037,0.1405753643193437
S0006,S0013,0.17413602041065068
S0004,SS0043,0.2240410572680438
SS0041,SS0043,0.1604847518471446
SS0035,SS0155,0.15753334437660338
S0021,SS0035,0.1648757459436747
SS0036,SS0045,0.14401906017843724
SS0156,SS0157,0.16767198629485303
SS0039,SS0158,0.2373445311978799
SS0034,SS0158,0.18019048488372036
SS0046,SS0048,0.1764548789326028
S0021,SS0046,0.18597378852724678
SS0045,SS0046,0.13555509359744833
S0003,SS0156,0.21044300163026608
SS0033,SS0155,0.14810876753873048
S0021,S0027,0.14616424282705287
S0010,S0027,0.2262406932101131
SS0047,SS0153,0.1753798924225518
S0009,SS0153,0.18685100424726564
S0025,SS0037,0.11298341273223678
S0026,SS0037,0.1368093544461736
S0006,SS0039,0.1502667548771306
S0028,SS0039,0.25023664013147084
SS0037,SS0043,0.1417982166248679
S0002,SS0041,0.143832240388988
S0016,SS0041,0.15831327488428326
S0009,S0019,0.161153102871873
S0018,S0024,0.09601718022950578
S0005,SS0035,0.14018962140947355
S0005,SS0149,0.1511328206151804
S0001,SS0158,0.48395938522416215
SS0046,SS0149,0.18652585114789544
S0011,S0020,0.12933378702779363
S0025,SS0042,0.15890481404470613
SS0045,SS0149,0.2409352571045149
SS0045,SS0048,0.22930817855669683
S0017,SS0155,0.16695725682554075
SS0150,SS0153,0.16384655985067953
S0028,SS0154,0.178284441075525
S0009,SS0043,0.22760249579311997
S0008,SS0043,0.24060143580436388
SS0043,SS0156,0.2592996437967807
S0005,S0010,0.12360195646537064
S0024,SS0157,0.20419624450072194
SS0042,SS0048,0.19580556441515484
S0002,SS0047,0.2784237868458982
S0015,S0023,0.1281607472734273
S0004,S0027,0.2708299526831517
S0009,S0021,0.173624991354567
S0028,SS0149,0.18323542292804895
S0018,S0026,0.11714945717672931
S0005,S0028,0.20396437966137115
S0010,SS0040,0.24675845644434724
S0006,SS0040,0.16898877255416345
S0006,SS0036,0.12232005483969721
S0026,S0027,0.18631411046856372
SS0034,SS0046,0.11754267884919012
S0024,SS0034,0.11457080609741432
S0020,SS0047,0.16626088125743355
S0013,SS0157,0.3383024998750854
S0002,S0003,0.10677403112112704
S0029,SS0039,0.2607711168306164
S0012,S0029,0.10003231390057687
SS0047,SS0155,0.19262228204328968
SS0047,SS0154,0.18847996789669197
S0004,SS0045,0.2808485137387583
S0026,SS0043,0.1712818600223538
SS0043,SS0157,0.2549702230422777
SS0041,SS0046,0.16630882627668309
SS0041,SS0047,0.21199148219549224
S0022,SS0041,0.14653654326006516
S0019,SS0037,0.11625277953143964
S0008,SS0035,0.22954844759747794
S0025,SS0039,0.13738642781402077
S0026,SS0149,0.17783387275784768
S0017,SS0158,0.20152250378922465
SS0033,SS0149,0.12885666793951023
S0026,SS0046,0.15890106536414395
S0008,SS0045,0.19045258277935362
S0020,SS0046,0.19634845113094557
S0020,SS0045,0.2508107222413537
S0012,SS0033,0.19746377879827548
S0003,S0011,0.2630117687465746
S0029,SS0033,0.16734660102227827
S0010,SS0045,0.23876851647009723
SS0042,SS0153,0.22072015907207043
S0006,SS0042,0.15652228631458853
S0019,S0028,0.18985198488411403
S0019,S0021,0.14729291233107988
SS0035,SS0048,0.18645114896617376
S0011,SS0036,0.2387942723584212
S0008,SS0036,0.19644049492763505
SS0036,SS0048,0.18292644006407077
S0001,SS0153,0.4466389314505528
S0027,SS0156,0.21452783808456344
S0026,SS0151,0.27648546863036405
S0008,S0016,0.2348051262876507
S0011,SS0034,0.23854144303832614
SS0033,SS0158,0.15609565409142911
SS0033,SS0151,0.34739732775985
S0008,SS0033,0.2772289661604066
S0013,SS0150,0.24960799491523666
