lat,lon
32.22880,295.50659
31.66680,295.83331
29.61570,293.47021
28.09070,292.49850
26.23890,292.19550
24.71440,292.92731
23.27470,294.44720
22.34090,296.41669
21.77640,298.15680
20.45500,300.46851
18.57100,302.38892
16.83100,303.73138
14.88020,305.19730
13.16200,306.57889
11.37230,307.95471
9.54590,309.53140
7.76648,311.11670
5.97805,313.58289
3.97540,316.24649
2.54495,318.29999
1.14720,320.31360
0.71545,321.03329
