lat,long
-49.54720,307.31189
-48.89420,311.26529
-46.92000,312.80042
-44.70680,314.46390
-42.37130,315.97421
-39.96320,317.58340
-37.83980,318.86911
-35.00880,320.56320
-32.08940,322.54071
-29.05790,324.20401
-26.08910,325.72089
-22.47150,327.25562
-17.01680,329.40079
-12.89400,330.77271
-9.15415,332.00000
-5.67700,331.53989
-2.65115,331.08310
-0.18715,327.12189

