Library,x,y,Longitude [degrees_east],Latitude [degrees_north],Cruise,Station,BODC Station,CTDPRS [dbar],yyyy-mm-ddThh:mm:ss.sss,Simpson diversity 50,Entropy Skew 50,pressure,temp,depth,sal,max_cnt_norm_cnt,norm_cnt,sum_ct,gc_content
S0034,739.673351,662.372768,306.57889,13.162,GA02,33,1609079,75,2010-06-26T10:46:30.000,0.000000531,0.471505881,75,27.4640677291,74.6015936255,36.0483939223,9777,1.11691430557095E-007,284057464,0.4200659666
S0035,-212.313487,1388.181043,306.57889,13.162,GA02,33,1609079,100,2010-06-26T10:46:30.000,0.000000516,0.474947848,100,26.5686,99.4,36.6690008,9098,1.16162447925811E-007,356555511,0.4163283847
S0036,571.182984,-718.978173,306.57889,13.162,GA02,33,1609079,150,2010-06-26T10:46:30.000,0.000000538,0.471312329,150,22.1702306163,149.1053677932,36.9092764016,9613,1.15803646860059E-007,314448082,0.4220832433
S0037,606.504362,243.152399,306.57889,13.162,GA02,33,1609079,200,2010-06-26T10:46:30.000,0.00000059,0.524852961,200,17.695,198.7105263158,36.3530653289,7150,0.00000012,484963160,0.4140577959
S0039,62.445636,-1053.543768,309.5314,9.5459,GA02,35,1609114,10,2010-06-28T12:42:29.000,0.00000045,0.375602414,10,28.629,9.9,35.8052992,9191,1.28830704652372E-007,260767832,0.4389058396
S0040,-198.986849,494.073542,309.5314,9.5459,GA02,35,1609114,75,2010-06-28T12:42:29.000,0.000000423,0.33688066,75,27.8664194313,74.5876777251,36.2200970332,9301,1.403965161546E-007,230460683,0.4438292435
S0041,-484.631779,1031.268066,309.5314,9.5459,GA02,35,1609114,100,2010-06-28T12:42:29.000,0.000000487,0.43847888,100,26.3529859155,99.4084507042,36.2725764648,6756,1.16309651246358E-007,438945412,0.4299284332
S0042,-208.598985,-885.67942,309.5314,9.5459,GA02,35,1609114,150,2010-06-28T12:42:29.000,0.000000441,0.393295797,150,18.9433333333,149.1111111111,36.4374083333,10073,1.27803732727837E-007,311110965,0.4320827762
S0043,982.125535,-405.48819,309.5314,9.5459,GA02,35,1609114,200,2010-06-28T12:42:29.000,0.00000048,0.458086196,200,12.3075314402,198.8073022312,35.3444208783,7063,1.10677384757225E-007,599485692,0.4192182092
S0045,575.901819,-577.099929,303.73138,16.831,GA02,31,1609051,75,2010-06-24T13:11:00.000,0.000000413,0.345361996,75,26.9291404959,74.5041322314,36.6741414649,7633,1.37114117512842E-007,522614799,0.4395580034
S0046,-274.770448,504.305437,303.73138,16.831,GA02,31,1609051,100,2010-06-24T13:11:00.000,0.000000475,0.443820125,100,26.1296334661,99.406374502,36.9253824064,8147,1.16692993882224E-007,630221377,0.4200800618
S0047,-462.075027,-105.799111,303.73138,16.831,GA02,31,1609051,150,2010-06-24T13:11:00.000,0.000000626,0.630703325,150,22.9849068826,149.008097166,37.139891668,6572,0.000000083,655449924,0.3977483396
S0048,156.385973,-130.47977,303.73138,16.831,GA02,31,1609051,200,2010-06-24T13:11:00.000,0.000000552,0.557603378,200,20.4135091278,198.7139959432,36.9367874483,9037,0.000000083,373906197,0.4060019659
S0149,394.186913,57.073713,292.92731,24.7144,GA02,25,1608932,100,2010-06-17T18:08:29.000,0.000000772,0.649483119,100,22.0220638298,99.3404255319,36.8719786596,10032,8.56953594534314E-008,658255325,0.3958232844
S0150,-943.723885,-227.946742,292.92731,24.7144,GA02,25,1608932,150,2010-06-17T18:08:29.000,0.000000698,0.459963262,150,20.255615894,149.0066225166,36.7289385298,7418,0.000000135,323069559,0.4336026606
S0151,-1073.355899,-351.468395,292.92731,24.7144,GA02,25,1608932,200,2010-06-17T18:08:29.000,0.000000396,0.23803671,200,19.0808744939,198.6194331984,36.6375941903,8307,1.65630998048302E-007,244363069,0.4758517937
S0153,-890.35471,-119.71349,296.41669,22.3409,GA02,27,1608967,75,2010-06-19T19:48:29.000,0.00000124,0.631353614,75,23.7003842975,74.5041322314,36.9844349401,9181,0.000000095,748334068,0.4044035382
S0154,308.672882,-30.644413,296.41669,22.3409,GA02,27,1608967,100,2010-06-19T19:48:29.000,0.00000161,0.673355085,100,22.3356322314,99.305785124,36.9040279256,6080,9.59251494524021E-008,963511933,0.3954804241
S0155,228.076922,756.787239,296.41669,22.3409,GA02,27,1608967,150,2010-06-19T19:48:29.000,0.000000629,0.496776562,150,20.6346331522,149.0190217391,36.8760812201,7429,1.07497399254608E-007,398223733,0.4212605047
S0156,-67.961728,951.404773,296.41669,22.3409,GA02,27,1608967,200,2010-06-19T19:48:29.000,0.00000053,0.304219632,200,19.1067798913,198.6114130435,36.6600479321,6810,1.67154981675913E-007,359517070,0.4623233509
S0157,-158.231901,1430.551084,320.60049,47.8,GA02,11,1608582,10,2010-05-11T15:01:30.000,0.000000819,0.389440274,10,21.5659666667,9.9,36.1990996667,6430,1.26938493248985E-007,698969920,0.4537776864
S0158,-980.166927,-303.851042,320.60049,47.8,GA02,11,1608582,50,2010-05-11T15:01:30.000,0.000000779,0.639545953,50,20.454,49.6666666667,36.4996666667,13614,8.85832171044753E-008,263806747,0.3936874429
Srand01,,,,,,,,,,3.22551141469628E-007,0.2227407332,,,,,,,963323535,0.4170131379
