sampleid,skewness
S0029,0.7341974821439301
S0017,0.46444367348712134
SS0046,0.44382012488231837
S0006,0.4986047384248984
SS0153,0.631353613876076
SS0037,0.52485296094045
S0008,0.3819991889415846
SS0149,0.6494831192992834
S0003,0.44156881892012834
S0009,0.634695544927979
S0015,0.6556721112870463
S0020,0.6644333467868222
S0027,0.5190926479021272
SS0150,0.4599632622000165
S0002,0.383725188781618
S0023,0.5282345156216479
S0018,0.46134262701782447
S0019,0.5945381611436034
S0024,0.4595793260514327
SS0047,0.630703325132
SS0033,0.5786355011802513
S0011,0.831715082389298
S0013,0.7407515403797973
SS0042,0.3932957972387605
SS0154,0.6733550846112593
SS0151,0.23803670981834557
SS0035,0.47494784774412224
SS0040,0.3368806596146534
SS0158,0.6395459526252871
SS0034,0.4715058811827717
S0028,0.6082036478430481
S0010,0.6253415976135628
S0026,0.4682604240723265
S0021,0.5060944284296731
S0025,0.4871538109295166
SS0041,0.4384788795951522
S0016,0.5873631712612877
S0004,0.731659228270825
SS0039,0.37560241351075874
SS0043,0.45808619610663115
S0022,0.4824622866397412
S0012,0.8178860824085135
SS0157,0.3894402742394725
S0005,0.5539723426392804
SS0156,0.30421963223524173
SS0045,0.3453619959110128
SS0048,0.5576033784663146
SS0036,0.4713123286465404
SS0155,0.49677656180103114
S0001,0.2918842135910964
